                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3951,                 1.0027,                 1.2411,                0.56552,                0.40538,                0.41246,                0.22886,                 1.7533,                 1.1899,                   1.26,               0.006733,               0.006733,               0.006733
                     35,                 1.3792,                0.99172,                 1.2295,                0.56744,                0.40699,                0.41469,                0.22642,                 1.7871,                 1.1889,                 1.2863,               0.006634,               0.006634,               0.006634
                     36,                  1.394,                 1.0087,                 1.2386,                 0.5708,                 0.4265,                0.41842,                 0.2312,                 1.7533,                 1.1697,                 1.2947,               0.006535,               0.006535,               0.006535
                     37,                 1.3716,                0.98716,                 1.2318,                0.56529,                0.41459,                0.41353,                0.23406,                 1.7014,                 1.1864,                 1.2432,               0.006436,               0.006436,               0.006436
                     38,                 1.3595,                0.96959,                 1.2234,                0.58389,                0.40995,                0.41539,                0.23041,                 1.7362,                 1.1658,                 1.2446,               0.006337,               0.006337,               0.006337
                     39,                  1.373,                0.97582,                 1.2307,                0.58804,                0.41586,                0.42287,                0.23549,                  1.734,                 1.1298,                 1.2795,               0.006238,               0.006238,               0.006238
                     40,                  1.366,                  0.969,                 1.2325,                0.57863,                0.41747,                0.42462,                0.23918,                 1.7119,                 1.1355,                 1.2739,               0.006139,               0.006139,               0.006139
                     41,                 1.3459,                0.95916,                  1.218,                0.59133,                0.41022,                 0.4234,                0.23857,                 1.7016,                 1.1288,                 1.2643,                0.00604,                0.00604,                0.00604
                     42,                 1.3355,                0.95582,                 1.2132,                0.56991,                0.41882,                 0.4273,                 0.2384,                 1.7045,                  1.123,                 1.2536,               0.005941,               0.005941,               0.005941
                     43,                 1.3406,                 0.9534,                 1.2187,                0.55753,                0.42473,                0.42726,                 0.2394,                 1.7311,                 1.1155,                 1.2687,               0.005842,               0.005842,               0.005842
                     44,                 1.3423,                0.94955,                 1.2233,                0.59474,                0.42151,                0.43201,                0.24264,                 1.6981,                 1.1136,                 1.2455,               0.005743,               0.005743,               0.005743
                     45,                 1.3256,                0.93453,                 1.2123,                0.56643,                0.42204,                0.42457,                0.24052,                 1.7076,                 1.1196,                 1.2607,               0.005644,               0.005644,               0.005644
                     46,                 1.3167,                0.92008,                 1.2041,                0.58779,                0.42204,                0.42713,                0.24181,                 1.7027,                 1.1187,                 1.2513,               0.005545,               0.005545,               0.005545
                     47,                 1.3241,                0.92753,                 1.2101,                0.57668,                0.41858,                0.42409,                 0.2448,                 1.6949,                 1.0983,                 1.2835,               0.005446,               0.005446,               0.005446
                     48,                 1.3339,                0.93164,                 1.2076,                0.57816,                0.42097,                0.42688,                0.24565,                 1.6842,                 1.0972,                 1.2696,               0.005347,               0.005347,               0.005347
                     49,                 1.3147,                0.92008,                 1.2059,                0.58355,                 0.4279,                0.43181,                0.24439,                  1.685,                 1.1033,                 1.2586,               0.005248,               0.005248,               0.005248
                     50,                 1.3072,                0.92842,                 1.2021,                0.56424,                 0.4371,                0.43496,                0.24722,                 1.6772,                 1.0943,                 1.2536,               0.005149,               0.005149,               0.005149
                     51,                 1.3205,                 0.9259,                 1.2067,                0.58418,                0.42849,                0.43441,                0.24676,                 1.6796,                 1.0949,                 1.2678,                0.00505,                0.00505,                0.00505
                     52,                 1.3189,                0.92061,                 1.1921,                0.57105,                0.43091,                0.43162,                0.24726,                  1.679,                 1.0971,                 1.2624,               0.004951,               0.004951,               0.004951
                     53,                 1.2971,                0.91142,                 1.1918,                 0.5803,                0.44086,                0.43805,                0.25122,                 1.6513,                 1.0701,                 1.2337,               0.004852,               0.004852,               0.004852
                     54,                 1.2895,                0.89639,                 1.1876,                0.56782,                0.43575,                0.43274,                0.24959,                 1.6668,                 1.0832,                 1.2499,               0.004753,               0.004753,               0.004753
                     55,                  1.298,                0.90114,                  1.183,                0.57996,                0.43602,                0.43788,                 0.2517,                 1.6707,                 1.0743,                  1.263,               0.004654,               0.004654,               0.004654
