                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4581,                   9.58,                 3.1188,                0.01674,                0.17688,                0.02826,                0.00774,                 3.4924,                 129.36,                 3.3265,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.9263,                 91.814,                 35.341,                0.02593,                0.01909,                0.00146,                 0.0004,                 3.3573,                 2255.2,                 19.416,               0.008317,               0.008317,               0.008317
                     36,                 3.8402,                 94.576,                 40.815,                0.02811,                0.01935,                0.00155,                0.00043,                 3.5078,                 2118.3,                 18.491,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.8373,                 82.781,                 40.635,                 0.0287,                 0.0207,                 0.0015,                0.00042,                 3.5918,                 1982.3,                 20.055,               0.008218,               0.008218,               0.008218
                     38,                 3.8132,                  76.35,                 41.537,                0.01518,                 0.0207,                0.00115,                0.00033,                 3.6617,                 1861.5,                 19.752,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.8238,                 74.348,                 39.781,                 0.0073,                0.02419,                0.00079,                0.00025,                 3.8639,                 1784.3,                  19.57,               0.008119,               0.008119,               0.008119
                     40,                  3.772,                 70.135,                 37.593,                0.00716,                0.03118,                0.00071,                0.00023,                 4.0102,                 1748.2,                 19.742,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.8477,                 69.473,                 36.817,                0.00668,                0.02097,                 0.0009,                0.00026,                 4.0399,                 1802.2,                 18.778,                0.00802,                0.00802,                0.00802
                     42,                  3.876,                 68.013,                 33.475,                 0.0042,                0.01586,                0.00082,                0.00022,                 4.0099,                 1893.4,                 18.242,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.9814,                 69.327,                 27.885,                0.00215,                0.03199,                0.00058,                0.00018,                 4.0038,                 2095.4,                 17.193,               0.007921,               0.007921,               0.007921
